"css-1hqkluu href","css-xlzvdl src","css-19v1rkv","css-abnp9g href","css-11bijt4","css-1l0s6bn","css-qgunke","css-16lklrv","css-1idmmu3","css-1idmmu3 href","raw__09f24__T4Ezm","raw__09f24__T4Ezm 2","css-d9duqb href","css-gutk1c","css-1idmmu3 href 2","css-8xcil9","css-abnp9g href 2","css-11bijt4 2","platformSearchAction__09f24__PNDZS href","css-1enow5j","css-1egxyvc","css-1egxyvc 2","raw__09f24__T4Ezm 3","priceRange__09f24__mmOuH","css-abnp9g href 3","css-11bijt4 3","css-chan6m"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.yelp.com/adredir?ad_business_id=TT3_XVcwov1WE8X0fiwD-w&campaign_id=houfRDhDvDlrvTEgV5wOEQ&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fglobal-express-catering-concord-2&request_id=a49388bbeb222bef&signature=896e6aff53d908d882878a0cf7ec3fd06f852c7aa16777b3bed19a69c3bfc67c&slot=0","https://s3-media0.fl.yelpcdn.com/bphoto/UmWSmzgxWpa1ro-cf0XLUQ/348s.jpg","Global Express Catering","https://www.yelp.com/search?find_desc=Food+Trucks&find_loc=Hayward%2C+CA","Food Trucks","Open","until Midnight","“We offer many types of cuisines, since we’re a globally inspired.”","more","https://www.yelp.com/adredir?ad_business_id=TT3_XVcwov1WE8X0fiwD-w&campaign_id=houfRDhDvDlrvTEgV5wOEQ&click_origin=read_more&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fglobal-express-catering-concord-2&request_id=a49388bbeb222bef&signature=896e6aff53d908d882878a0cf7ec3fd06f852c7aa16777b3bed19a69c3bfc67c&slot=0","Delivery","Takeout","","","","","","","","","","","","","","",""
"https://www.yelp.com/adredir?ad_business_id=eNOCJ5hJfHFu7zXiYw5fiQ&campaign_id=KAiSSl3wLOe2IcMGUjlbcA&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsees-candies-fremont-2&request_id=a49388bbeb222bef&signature=cefe57e51eada618abb9570b7d3fa4a3eb544aeafed16c5e9c5a18219dd22d45&slot=1","https://s3-media0.fl.yelpcdn.com/bphoto/nedVB1Ldq7chSKMJ3JuHgQ/348s.jpg","See’s Candies","https://www.yelp.com/search?find_desc=Chocolatiers+%26+Shops&find_loc=Hayward%2C+CA","Chocolatiers & Shops","Open","until 7:00 PM","“Went in this past weekend to have the crew re-wrap 2 boxes that were purchased a few months ago. The crew was extremely sweet (pun intended) professional and very helpful. I miss…”","more","https://www.yelp.com/adredir?ad_business_id=eNOCJ5hJfHFu7zXiYw5fiQ&campaign_id=KAiSSl3wLOe2IcMGUjlbcA&click_origin=read_more&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsees-candies-fremont-2%3Fhrid%3D9iD8pshDtOmn-FetkrhRXw&request_id=a49388bbeb222bef&signature=a6d1dca212f88e7f9cd1ab3709a4c5c1219294a58a42f86063d0de37b0c926b2&slot=1","Delivery","Takeout","https://www.yelp.com/adredir?ad_business_id=eNOCJ5hJfHFu7zXiYw5fiQ&campaign_id=KAiSSl3wLOe2IcMGUjlbcA&click_origin=read_more&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsees-candies-fremont-2%3Fhrid%3D9iD8pshDtOmn-FetkrhRXw&request_id=a49388bbeb222bef&signature=a6d1dca212f88e7f9cd1ab3709a4c5c1219294a58a42f86063d0de37b0c926b2&slot=1","3.8","https://www.yelp.com/adredir?ad_business_id=eNOCJ5hJfHFu7zXiYw5fiQ&campaign_id=KAiSSl3wLOe2IcMGUjlbcA&click_origin=read_more&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsees-candies-fremont-2%3Fhrid%3D9iD8pshDtOmn-FetkrhRXw&request_id=a49388bbeb222bef&signature=a6d1dca212f88e7f9cd1ab3709a4c5c1219294a58a42f86063d0de37b0c926b2&slot=1","(69 reviews)","https://www.yelp.com/search?find_desc=Gift+Shops&find_loc=Hayward%2C+CA","Gift Shops","https://www.yelp.com/adredir?ad_business_id=eNOCJ5hJfHFu7zXiYw5fiQ&click_origin=search_results_direction&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fmap%2Fsees-candies-fremont-2&request_id=a49388bbeb222bef&signature=a56b7789e7067890984cc3e02ed4ede8b82518af087d4888c171b0f65424b506&slot=1","Get Directions","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.yelp.com/biz/hannas-chocolates-pleasanton?osq=Chocolatiers+%26+Shops","https://s3-media0.fl.yelpcdn.com/bphoto/7I4s2B8mhUGChu5Y1frcKw/348s.jpg","Hanna’s Chocolates","https://www.yelp.com/search?find_desc=Chocolatiers+%26+Shops&find_loc=Hayward%2C+CA","Chocolatiers & Shops","Open","until 6:00 PM","“I'm so grateful to have such a beautiful high-end  here in Pleasanton!”","more","https://www.yelp.com/biz/hannas-chocolates-pleasanton?hrid=mJ8bkDJliIIfvWkYt53owQ&osq=Chocolatiers+%26+Shops","Outdoor seating","Delivery","https://www.yelp.com/biz/hannas-chocolates-pleasanton?hrid=mJ8bkDJliIIfvWkYt53owQ&osq=Chocolatiers+%26+Shops","5.0","https://www.yelp.com/biz/hannas-chocolates-pleasanton?hrid=mJ8bkDJliIIfvWkYt53owQ&osq=Chocolatiers+%26+Shops","(32 reviews)","https://www.yelp.com/search?find_desc=Coffee+%26+Tea&find_loc=Hayward%2C+CA","Coffee & Tea","","","1.","chocolatier","Takeout","","","",""
"https://www.yelp.com/biz/ghirardelli-ice-cream-and-chocolate-factory-outlet-san-leandro-2?osq=Chocolatiers+%26+Shops","https://s3-media0.fl.yelpcdn.com/bphoto/UlONz1ASQLs-Wohnx2T3IA/348s.jpg","Ghirardelli Ice Cream & Chocolate Factory Outlet","https://www.yelp.com/search?find_desc=Chocolatiers+%26+Shops&find_loc=Hayward%2C+CA","Chocolatiers & Shops","Open","until 8:00 PM","“SOOOO . lol That stuff is REAL. haha It's actually too strong for me.”","more","https://www.yelp.com/biz/ghirardelli-ice-cream-and-chocolate-factory-outlet-san-leandro-2?hrid=Q7WacEJcFFl97_yiLzV5Fw&osq=Chocolatiers+%26+Shops","Delivery","Takeout","https://www.yelp.com/biz/ghirardelli-ice-cream-and-chocolate-factory-outlet-san-leandro-2?hrid=Q7WacEJcFFl97_yiLzV5Fw&osq=Chocolatiers+%26+Shops","4.4","https://www.yelp.com/biz/ghirardelli-ice-cream-and-chocolate-factory-outlet-san-leandro-2?hrid=Q7WacEJcFFl97_yiLzV5Fw&osq=Chocolatiers+%26+Shops","(298 reviews)","https://www.yelp.com/search?find_desc=Ice+Cream+%26+Frozen+Yogurt&find_loc=Hayward%2C+CA","Ice Cream & Frozen Yogurt","","","2.","chocolaty","Curbside Pickup","$$","","",""
"https://www.yelp.com/biz/sees-candies-fremont-2?osq=Chocolatiers+%26+Shops","https://s3-media0.fl.yelpcdn.com/bphoto/0-jq5IruQGTDZzlj0EMVbw/348s.jpg","See’s Candies","https://www.yelp.com/search?find_desc=Candy+Stores&find_loc=Hayward%2C+CA","Candy Stores","Open","until 7:00 PM","“I might even go apply for a company job as a  to try out all their new candies and write...”","more","https://www.yelp.com/biz/sees-candies-fremont-2?hrid=WEPsj7QIcxyyJu2_Gs1X3Q&osq=Chocolatiers+%26+Shops","Delivery","Takeout","https://www.yelp.com/biz/sees-candies-fremont-2?hrid=WEPsj7QIcxyyJu2_Gs1X3Q&osq=Chocolatiers+%26+Shops","3.8","https://www.yelp.com/biz/sees-candies-fremont-2?hrid=WEPsj7QIcxyyJu2_Gs1X3Q&osq=Chocolatiers+%26+Shops","(69 reviews)","https://www.yelp.com/search?find_desc=Gift+Shops&find_loc=Hayward%2C+CA","Gift Shops","","","3.","Chocolatier","","$$","https://www.yelp.com/search?find_desc=Chocolatiers+%26+Shops&find_loc=Hayward%2C+CA","Chocolatiers & Shops",""
"https://www.yelp.com/biz/the-gourmet-works-pleasanton?osq=Chocolatiers+%26+Shops","https://s3-media0.fl.yelpcdn.com/bphoto/S-AOTjp8bhgHmayFGbhV1g/348s.jpg","The Gourmet Works","https://www.yelp.com/search?find_desc=Chocolatiers+%26+Shops&find_loc=Hayward%2C+CA","Chocolatiers & Shops","Open","until 5:00 PM","“And so full of  goodness. And such sweet owners too.”","more","https://www.yelp.com/biz/the-gourmet-works-pleasanton?hrid=oUDPIGzRtRLLlGWF_weUzQ&osq=Chocolatiers+%26+Shops","Delivery","Takeout","https://www.yelp.com/biz/the-gourmet-works-pleasanton?hrid=oUDPIGzRtRLLlGWF_weUzQ&osq=Chocolatiers+%26+Shops","4.5","https://www.yelp.com/biz/the-gourmet-works-pleasanton?hrid=oUDPIGzRtRLLlGWF_weUzQ&osq=Chocolatiers+%26+Shops","(87 reviews)","","","","","4.","chocolaty","","$$","","",""
"https://www.yelp.com/biz/l%C3%A4derach-chocolatier-suisse-palo-alto-2?osq=Chocolatiers+%26+Shops","https://s3-media0.fl.yelpcdn.com/bphoto/EFqEwPxGdloARjJ0Wm7rTQ/348s.jpg","Läderach chocolatier suisse","https://www.yelp.com/search?find_desc=Chocolatiers+%26+Shops&find_loc=Hayward%2C+CA","Chocolatiers & Shops","Open","until 7:00 PM","“Läderach  Suisse, a Swiss Chocolatier has taken over the lease of 34 Godiva stores in the...”","more","https://www.yelp.com/biz/l%C3%A4derach-chocolatier-suisse-palo-alto-2?hrid=TYLC2U6yKM95IzWxjPhCQw&osq=Chocolatiers+%26+Shops","","","https://www.yelp.com/biz/l%C3%A4derach-chocolatier-suisse-palo-alto-2?hrid=TYLC2U6yKM95IzWxjPhCQw&osq=Chocolatiers+%26+Shops","4.1","https://www.yelp.com/biz/l%C3%A4derach-chocolatier-suisse-palo-alto-2?hrid=TYLC2U6yKM95IzWxjPhCQw&osq=Chocolatiers+%26+Shops","(49 reviews)","https://www.yelp.com/search?find_desc=Candy+Stores&find_loc=Hayward%2C+CA","Candy Stores","","Request Information","5.","Chocolatier","","","https://www.yelp.com/search?find_desc=Gift+Shops&find_loc=Hayward%2C+CA","Gift Shops",""
"https://www.yelp.com/biz/alegio-chocolat%C3%A9-claudio-corallo-palo-alto?osq=Chocolatiers+%26+Shops","https://s3-media0.fl.yelpcdn.com/bphoto/Cuy2UJ442xykOrvZv5WjWQ/348s.jpg","Alegio Chocolaté / Claudio Corallo","https://www.yelp.com/search?find_desc=Chocolatiers+%26+Shops&find_loc=Hayward%2C+CA","Chocolatiers & Shops","Open","until 6:00 PM","“Outstanding . Claudio really knows his way around the cocoa berry.”","more","https://www.yelp.com/biz/alegio-chocolat%C3%A9-claudio-corallo-palo-alto?hrid=AG7odoXQMO_QXOMjAWcA0A&osq=Chocolatiers+%26+Shops","Delivery","Takeout","https://www.yelp.com/biz/alegio-chocolat%C3%A9-claudio-corallo-palo-alto?hrid=AG7odoXQMO_QXOMjAWcA0A&osq=Chocolatiers+%26+Shops","4.7","https://www.yelp.com/biz/alegio-chocolat%C3%A9-claudio-corallo-palo-alto?hrid=AG7odoXQMO_QXOMjAWcA0A&osq=Chocolatiers+%26+Shops","(150 reviews)","","","","","6.","chocolatier","","$$$","","",""
