Producer Name	Appearance	Aroma 	Taste	Mouth Feel	Overall Impression	How much will you pay for a bag? (Brazilian Reis$)	Ranking  (1 - least favorite, 6 - most favourite )
Capelavelha		cacao powder	fruity	granulated  dry  grainy	bad after taste		
Pelourinho		peppery	strong pure chocolate taste	grainy but then smooth	really good and sweet beginning but then bitter and velvety aftertaste		6
Bahia Cacao		like sugar but not very good	taste bland a little fruity sweet taste alot like banana	sandy aromna	mild taste didn't like it so much. Taste like it was washed in water		2
Itacare Cacao		Salty smoked	bitter salty meat	grainy then sandy but hard to dissolve	weird mixture of taste not the best texture		
Cacauway		honey	taste like bitter fruits but berries	stony dusty velvety			
Albeha Cacau		liquor like	very sharp bitter taste 	grainy	way too bitter did not like it		1
Itacare Cacao	Ok	Very good	Nice	Ok	Ok	25	
Cacauway	Good	Nice	Ok	Ok		40	
Capelavelha	Ok	Ok	Ok	Ok	Good	30	
Pelourinho	Good	Fresh	Good	Ok	Very good	35	
Bahia Cacao			Very good		Very good	40	6
Itacare Cacao						90	
Capelavelha						50	
Pelourinho			very good			110	
Bahia Cacao	intense					70	
Capelavelha	rock	caramel	nuty	dry	good	100	
Pelourinho	milk chocolate	wood	hint of alcohol	intense	good	100	
Bahia Cacao							
Itacare Cacao	rocky	cacao powder	full body	a little hard	good taste less sweet		
Cacauway	like a brown sugar peanut	strong aroma	very good taste less sweet more delicious	more crunchy	delicious crunchy good taste		
Capelavelha	dry hash	cacao powder	a little bitter	wet mouth	sweet taste at the beginning and bitter at the end		
Pelourinho	like a sweet peanut brazilian	little bit cinnamon	more sweet	normal	very good taste and feel		
Bahia Cacao	bean	like a sweet chocolate	very sweet	dripping	most likely at here		
Itacare Cacao	even more rocky	bitter	even sweeter	soft	little bland	30	2
Cacauway	more rocky	sweet and mild	sweet and mild	soft	good round profile	35	3
Albeha Cacau		cacau	mild and sweet	soft	good balance	35	6
Capelavelha	dusty	spicy	mild	crispy	nice	30	4
Pelourinho	rocky	spicy	ripe	crispy	nicer	30	1
Bahia Cacao	more rocky	neutral	sweet	good contrast sweet and bitter	even nicer	40	5
Itacare Cacao	rocky	dark	dark	rocky	great	250	
Cacauway	laranja	suave	doce	suave	best so far	300	
Albeha Cacau	preto	suave	citric	soft	fine	300	
Capelavelha	trufa  suave	soft trufa	dark cacao	solid	great	180	
Pelourinho	rocky 			broken	great	200	
Bahia Cacao	claro		doce 	soft	doce	250	
Itacare Cacao				crunch		50	
Cacauway	chocolate	cinnamon	doce	coconut	perfect	160	
Albeha Cacau	seeds	sweet	good	crunchy		100	
Capelavelha		suave		crunchy		40	
Pelourinho						150	
Bahia Cacao				delicious		160	
Capelavelha	nutty, dusty appearance 	nutty but sweet	slight banana flavour	dry crunchy, earthy texture	can taste fermentation, causes thirst Mouth watering but not overpowering	good it is in a jar but wont buy	5
Pelourinho	nutty dusty more soft in appearance inside has nice chocolate colorful 	sweeter smell	sweeter taste richer cocoa taste	melts nicely finer texture	looks fresher doesnt have as strong a thirst factor	unassuming packaging. I would buy 2	3
Bahia Cacao	looks crystalized inside is denser, walnut like less consistent size of pieces	less strong aroma	taste a little like champagne grapes	crystalized texture	denser middle makes me eager to have more of it	nice size of packaging	4
Itacare Cacao	darker color. More on brand for chocolate	very faint aroma	more bitter gravy taste	interesting texture of biting into shell	strong thirst factore makes me very thirsty		2
Cacauway	reddish brown color	liquor smeel whiskey like smell	powerful nice texture in the middle sweet	nice crunch	amazing. great after taste	take my money	6
Albeha Cacau	very soft appearance sugar look	molasses like aroma	salty	dry and kind of salty texture gritty	strong thirst factor	no	1
Capelavelha	funny	sweet chocolate 	pepper sweet	hard to swallo	good	25	5
Pelourinho	classic	coffee with chocolate	coffee	smooth	snacky perfrect for snack	35	4
Bahia Cacao	alien	sugar	sweet fermentation taste	easy to eat a lot	delicious	50	2
