"eventname","eventlocation","more-link href"
"Aberdeen Chocolate Fair","Aberdeen, Scotland","https://chocolateaffairsmagazine.com/aberdeen-chocolate-fair/#more-2637"
"Austin Chocolate Festival","Austin, Texas, USA","https://chocolateaffairsmagazine.com/austin-chocolate-festival/#more-2639"
"Aventura Mall Chocolate Festival","Aventura, Florida, USA","https://chocolateaffairsmagazine.com/aventura-mall-chocolate-festival/#more-2640"
"Barbados Chocolate Festival","Barbados","https://chocolateaffairsmagazine.com/barbados-chocolate-festival/#more-2642"
"Belize Chocolate Festival","Toledo District, Big Falls, Belize","https://chocolateaffairsmagazine.com/belize-chocolate-festival/#more-2645"
"BIG ISLAND CHOCOLATE FESTIVAL","Waimea, Hawaii, USA","https://chocolateaffairsmagazine.com/cccccccccccccccc/#more-1386"
"Blue Mountains Chocolate Festival","Blue Mountains, Australia","https://chocolateaffairsmagazine.com/blue-mountains-chocolate-festival/#more-2646"
"Brighton Chocolate Festival","Brighton, England, United Kingdom","https://chocolateaffairsmagazine.com/brighton-chocolate-festival/#more-2648"
"Bristol Chocolate Festival","Birstall, England, United Kingdom","https://chocolateaffairsmagazine.com/bristol-chocolate-festival/#more-2649"
"Burlington Chocolate Festival","Burlington, Wisconsin, USA","https://chocolateaffairsmagazine.com/burlington-chocolate-festival/#more-2650"
"Cannes Salon du Chocolat","France","https://chocolateaffairsmagazine.com/cannes-salon-du-chocolat/#more-2651"
"Carolina Chocolate Festival","Morehead City, North Carolina, USA","https://chocolateaffairsmagazine.com/carolina-chocolate-festival/#more-2652"
"Chiles and Chocolate Festival","Phoenix, Arizona, USA","https://chocolateaffairsmagazine.com/chiles-and-chocolate-festival/#more-2653"
"CHOCO DE MAYO WINE DINNER","Windber, Pennsylvania, USA","https://chocolateaffairsmagazine.com/nework-mahotsav/#more-1234"
"Choco-Late Festival","Bruges, Belgium","https://chocolateaffairsmagazine.com/choco-late-festival/#more-2655"
"Chocoa Conference + Chocolate Festival","Amsterdam, Noord-holland, Netherlands","https://chocolateaffairsmagazine.com/chocoa-conference-chocolate-festival/#more-2656"
"CHOCOA FESTIVAL","Aiea, Hawaii, USA","https://chocolateaffairsmagazine.com/chocoa-festival/#more-2609"
"ChocolArt Fetival","Ehingen, Tubingen, Germany","https://chocolateaffairsmagazine.com/chocolart-fetival/#more-2657"
"Chocolate and Chalk Art Festival","Berkeley, California, USA","https://chocolateaffairsmagazine.com/chocolate-and-chalk-art-festival/#more-2658"
"Chocolate Fest","St. Stephen, New Brunswick, Canada","https://chocolateaffairsmagazine.com/chocolate-fest/#more-2659"
"Chocolate Fest Indy","Indianapolis, Indiana, USA","https://chocolateaffairsmagazine.com/chocolate-fest-indy/#more-2661"
"Chocolate Festival and SweetArt Festival","Escondido, California, USA","https://chocolateaffairsmagazine.com/chocolate-festival-and-sweetart-festival/#more-2662"
"Chocolate Festival Ilheus","Bahia, Brazil","https://chocolateaffairsmagazine.com/chocolate-festival-ilheus/#more-2663"
"Chocolate Festival Illinois","Long Grove, Illinois, USA","https://chocolateaffairsmagazine.com/chocolate-festival-illinois/#more-2664"
"Chocolate Festival of Texas","Houston, Texas, USA","https://chocolateaffairsmagazine.com/chocolate-festival-of-texas/#more-2665"
"Chocolate For Vets","Denver, Colorado, USA","https://chocolateaffairsmagazine.com/chocolate-for-vets/#more-2666"
